nofinesset;nofinessej;rs;rslongue;numvoie;compvoie;typvoie;voie;lieuditbp;departement;libdepartement;cp;commune;telephone;telecopie;dateouv;dateautor;datemaj;wgs84;lat;lng
940011844;940011836;PHARM NOP MUNIRA;;140;;GR;CHARLES DE GAULLE;;94;VAL DE MARNE;94130;NOGENT SUR MARNE;148730518;;18/12/2006;24/06/1943;26/06/2009;48.8375, 2.48756;48.83749999999999;2.4875599999999998
940009756;940009731;PHARM PONG;;7;;AVENUE;ARISTIDE BRIAND;;94;VAL DE MARNE;94240;L HAY LES ROSES;146644709;;10/02/1987;12/02/1943;26/08/2009;48.7798, 2.33512;48.77979999999999;2.33512
940010945;940010937;PHARM CASAURANG;;46;;AVENUE;DE FONTAINEBLEAU;;94;VAL DE MARNE;94270;LE KREMLIN BICETRE;146580717;;24/02/1977;21/04/1943;02/07/2009;48.8132, 2.36105;48.81319999999999;2.3610499999999996
940011240;940011232;PHARM BALTEAU;PHARMACIE DU MARCHE;76;;AVENUE;GAMBETTA;;94;VAL DE MARNE;94700;MAISONS ALFORT;143781307;;17/02/1997;10/03/1943;25/08/2010;48.8099, 2.44423;48.80989999999999;2.44423
940008485;940008477;PHARM RATOVONDRIAKA;;48;;RUE;DU GENERAL LECLERC;;94;VAL DE MARNE;94000;CRETEIL;142071877;;17/01/1968;17/01/1944;29/09/2008;48.7918, 2.46387;48.7918;2.46387
940011414;940011406;PHARM ZEITOUN;;62;;AVENUE;DU GENERAL LECLERC;;94;VAL DE MARNE;94700;MAISONS ALFORT;143688302;143685539;09/10/1983;03/12/1974;26/01/2009;48.8067, 2.43903;48.80669999999999;2.43903
940011745;940011737;PHARM BEDOUCHA;;9;;AVENUE;GEORGES CLEMENCEAU;;94;VAL DE MARNE;94130;NOGENT SUR MARNE;148730176;;04/04/2005;26/07/1943;02/07/2009;48.8358, 2.47289;48.83579999999999;2.47289
940011661;940011653;PHARM TOCQUEVILLE;;20;;RUE;DU GENERAL LECLERC;;94;VAL DE MARNE;94520;MANDRES LES ROSES;145989081;;01/06/1993;30/03/1966;25/08/2010;48.7012, 2.54205;48.70119999999998;2.5420499999999997
940013675;940013667;PHARM BOUVERET BIENFAIT;;11;;RUE;DE LA VARENNE;;94;VAL DE MARNE;94100;ST MAUR DES FOSSES;148832747;;14/01/1992;24/06/1943;25/08/2010;48.8095, 2.47174;48.80949999999999;2.47174
940014814;940014806;PHARM LASRY;;81;;RUE;HENRI BARBUSSE;;94;VAL DE MARNE;94800;VILLEJUIF;147265236;;15/04/1986;14/09/1951;02/07/2009;48.805, 2.37013;48.80499999999999;2.37013
940010226;940010200;PHARM GIANNOTTI;;55;;RUE;JEAN LE GALLEU;;94;VAL DE MARNE;94200;IVRY SUR SEINE;146725980;146725980;08/01/1990;26/03/1965;25/08/2010;48.8113, 2.3795;48.8113;2.3795000000000006
940013527;940013501;PHARM BAZIN & COLLAS;;4;B;RUE;INKERMANN;;94;VAL DE MARNE;94100;ST MAUR DES FOSSES;148830113;;16/04/2006;20/10/1943;25/08/2010;48.7969, 2.48634;48.796899999999994;2.48634
940013576;940013550;PHARM OZGULLU SAINT MARC;PHARMACIE DE LA PIE;31;;RUE;PAUL DEROULEDE;;94;VAL DE MARNE;94100;ST MAUR DES FOSSES;142837399;;26/03/1981;20/10/1943;25/08/2010;48.7889, 2.48177;48.78889999999999;2.48177
940010846;940010820;PHARM ISSOUFALY LAVA;;16;T;BOULEVARD;CHASTENET DE GERY;;94;VAL DE MARNE;94270;LE KREMLIN BICETRE;147260053;;07/03/1991;02/03/1962;25/08/2010;48.806, 2.35787;48.806;2.35787
940014046;940014020;PHARM SALES MARYLENE;;;;;DOMAINE DE SANTENY;;94;VAL DE MARNE;94440;SANTENY;143860123;;20/08/1984;24/06/1974;26/01/2009;48.7425, 2.57688;48.74249999999999;2.57688
940013261;940013253;PHARM GAUDEIX;PHARMACIE DE L'ABBAYE;1;;RUE;DE L'ABBAYE;;94;VAL DE MARNE;94100;ST MAUR DES FOSSES;148838086;;18/06/1981;17/08/1992;25/08/2010;48.8126, 2.47322;48.81260000000001;2.47322
940013592;940013584;PHARM  KNUR VALERIE;;68;;RUE;DU PONT DE CRETEIL;;94;VAL DE MARNE;94100;ST MAUR DES FOSSES;142834152;;21/07/1993;18/03/1970;25/08/2010;48.8018, 2.47052;48.80180000000001;2.47052
940013626;940013600;PHARM REVEILLEAU VALÉRIE;;10;;RUE;DES REMISES;;94;VAL DE MARNE;94100;ST MAUR DES FOSSES;142838041;;31/05/1989;24/06/1943;25/08/2010;48.8069, 2.47356;48.80689999999999;2.47356
940015761;940015753;PHARM HENRY BERNARD;;52;;AVENUE;HENRY DUNANT;;94;VAL DE MARNE;94350;VILLIERS SUR MARNE;149302123;;04/03/1991;05/02/1965;13/07/2009;48.8237, 2.53548;48.82369999999999;2.53548
940015894;940015886;PHARM SEBBAG;;122;;RUE;DE FONTENAY;;94;VAL DE MARNE;94300;VINCENNES;143282097;;01/08/1995;09/10/1973;16/12/2008;48.8484, 2.43739;48.848399999999984;2.43739
940016496;940016470;PHARM KHOY YOU DETH;;;;RUE;CONSTANT COQUELIN;;94;VAL DE MARNE;94400;VITRY SUR SEINE;146801997;;21/02/1985;10/03/1943;25/08/2010;48.7777, 2.39831;48.7777;2.3983099999999995
940016397;940016371;PHARM ABOUZAID JOSEPH;;39;;RUE;ANSELME RONDENAY;;94;VAL DE MARNE;94400;VITRY SUR SEINE;146803518;;22/07/1996;09/06/1995;25/08/2010;48.7806, 2.40209;48.7806;2.40209
940015464;940015456;PHARM MARQUES;PHARMACIE EMILE ZOLA;31;;RUE;EMILE ZOLA;;94;VAL DE MARNE;94190;VILLENEUVE ST GEORGES;143890096;;09/04/1987;21/12/1943;25/08/2010;48.7355, 2.45021;48.73549999999999;2.4502099999999998
770007391;770007383;PHARMACIE ORLY PARC;;12;;PL;MARCEL RIVIERE;;77;SEINE-ET-MARNE;77400;LAGNY SUR MARNE;164301283;164308578;01/03/2006;25/11/1963;08/07/2009;48.8744, 2.72104;48.87440000000001;2.72104
770007664;770007656;PHARMACIE DU CANAL;PHARMACIE D'OFFICINE DU CANAL;69;;RUE;JEAN JAURES;;77;SEINE-ET-MARNE;77440;LIZY SUR OURCQ;160017476;;10/07/2009;01/06/1982;25/08/2010;49.0248, 3.02431;49.0248;3.02431
770008027;770008001;PHARMACIE D'OFFICINE DRAY;PHARMACIE D'OFFICINE DRAY;7;;RUE;DU GENERAL LECLERC;;77;SEINE-ET-MARNE;77100;MEAUX;164340066;164348546;27/08/2001;24/02/1946;17/06/2013;48.9592, 2.88203;48.959199999999996;2.88203
770008175;770012128;SELARL PHARMACIE BEAUVAL;SELARL PHARMACIE D'OFFICINE BEAUVAL;28;;ALL;JEAN LOUIS BARRAULT;;77;SEINE-ET-MARNE;77100;MEAUX;164330563;160093710;10/12/2009;30/06/1972;17/06/2013;48.9524, 2.91281;48.952400000000004;2.91281
770008290;770008282;PHARMACIE COUVREUR;PHARMACIE D'OFFICINE COUVREUR;3;;RUE;GEORGES CLAUDE;;77;SEINE-ET-MARNE;77100;MEAUX;160232820;;20/01/1988;16/03/1987;17/06/2013;48.9582, 2.9174;48.958199999999984;2.9174
770008431;770008423;PHARMACIE HUNOUT ANNIE;PHARMACIE D'OFFICINE HUNOUT ANNIE;;;SQUARE;RONSARD;;77;SEINE-ET-MARNE;77350;LE MEE SUR SEINE;164527133;164524809;24/07/1991;24/02/1982;17/01/2011;48.5439, 2.62604;48.5439;2.62604
770009074;770009066;PHARMACIE MOUKO;PHARMACIE MOUKO ALIN;239;;RUE;DES EPINETTES;;77;SEINE-ET-MARNE;77550;MOISSY CRAMAYEL;164888610;;18/10/1990;25/06/1990;12/10/2011;48.6242, 2.58224;48.62419999999999;2.58224
770009660;770009652;PHARMACIE DE LA HALLE;;22;;RUE;DU GENERAL LECLERC;;77;SEINE-ET-MARNE;77370;NANGIS;164080023;164083539;28/06/2004;24/02/1943;20/04/2011;48.5563, 3.01211;48.5563;3.0121099999999994
770010296;770010270;PHARMACIE  LE PIN;PHARMACIE LE PIN;20;B;RUE;DE COURTRY;;77;SEINE-ET-MARNE;77181;LE PIN;160267450;160267470;11/03/1994;23/11/1993;20/01/2011;48.9158, 2.62717;48.91579999999999;2.62717
770010627;770010601;PHARMACIE DE PONTCARRE;PHARMACIE D'OFFICINE DE PONTCARRE;38;;GR;;;77;SEINE-ET-MARNE;77135;PONTCARRE;164661385;164667639;19/03/2003;09/12/1976;24/07/2007;48.7971, 2.70173;48.7971;2.7017300000000004
770010726;770010700;SELARL PHARMACIE JABET;PHARMACIE D'OFFICINE SELARL JABET;;;AVENUE;DE LA VOULZIE;;77;SEINE-ET-MARNE;77160;PROVINS;164000098;160677256;01/04/2004;07/03/1989;21/01/2011;48.5473, 3.29227;48.547299999999986;3.29227
770010791;770014769;PHARMACIE  CENTRALE;SELARL PHARMACIE CENTRALE;16;;RUE;DU VAL;;77;SEINE-ET-MARNE;77160;PROVINS;164000007;160678729;01/10/2006;24/02/1943;25/08/2010;48.5605, 3.29787;48.56049999999999;3.29787
770010890;770010882;SELARL PHARM DE LA ROCHETTE;SELARL PHARMACIE D'OFFICINE DE LA ROCHETTE;61;;RUE;HONORE DAUMIER;;77;SEINE-ET-MARNE;77000;LA ROCHETTE;164372343;164103893;03/09/2001;18/07/1960;03/12/2002;48.5225, 2.66026;48.522499999999994;2.66026
770010940;770010932;PHARMACIE GUISARD-HOTTIER;PHARMACIE D'OFFICINE MME ET M. GUISARD HOTTIER;24;;AVENUE;DU GENERAL LECLERC;;77;SEINE-ET-MARNE;77680;ROISSY EN BRIE;160286793;164408075;01/04/2004;30/09/1987;25/08/2010;48.7908, 2.66221;48.7908;2.66221
770011674;770011666;PHARM DE PLESSIS LE ROI;PHARMACIE D'OFFICINE DE PLESSIS LE ROI;;;CTRE;CIAL DU PLESSIS LE ROI;;77;SEINE-ET-MARNE;77176;SAVIGNY LE TEMPLE;160632251;160232251;01/10/2001;18/03/1975;04/11/2003;48.5765, 2.5788;48.5765;2.5787999999999998
770011740;770011732;SELARL PHARMACIE DE LA GARE;;9;;RUE;EDOUARD VAILLANT;;77;SEINE-ET-MARNE;77176;SAVIGNY LE TEMPLE;160632321;164418047;07/01/2008;13/07/1990;12/02/2009;48.5946, 2.582;48.59459999999999;2.5820000000000003
770012011;770012003;PHARMACIE PHARMA K;PHARMACIE D'OFFICINE PHARMA K;26;;PROM;DU BELVÈDERE;;77;SEINE-ET-MARNE;77200;TORCY;160178060;160175419;19/04/1996;08/10/1985;22/03/2006;48.8402, 2.65332;48.84019999999999;2.65332
770012177;770012151;PHARM GENIN JEAN-LUC;PHARMACIE D'OFFICINE GENIN;10;;GR;RUE;;77;SEINE-ET-MARNE;77200;TORCY;160178990;;17/09/1991;17/06/1991;06/11/2003;48.8363, 2.66009;48.83629999999998;2.66009
770012243;770012235;PHARM JACOB DENIS;PHARMACIE D'OFFICINE JACOB DENIS;3;;RUE;DU MARECHAL JOFFRE;;77;SEINE-ET-MARNE;77470;TRILPORT;164332874;160230195;14/01/1987;01/09/1947;25/08/2010;48.9578, 2.94568;48.957800000000006;2.94568
770012490;770012482;SNC PHARMACIE DU MOUSTIER;;1;;AVENUE;GEN DE GAULLE;;77;SEINE-ET-MARNE;77000;VAUX LE PENIL;160681308;164522054;01/11/2007;24/10/1973;28/01/2011;48.5313, 2.67696;48.5313;2.67696
770012912;770012904;PHARMACIE CANAL DE L'OURCQ;SNC PHARMACIE D'OFFICINE CANAL DE L'OURCQ;15;;PL;DU MARCHE STALINGRAD;;77;SEINE-ET-MARNE;77270;VILLEPARISIS;164270033;164679467;08/07/1987;24/02/1943;25/08/2010;48.9515, 2.6013;48.9515;2.6013000000000006
770012961;770012953;PHARM NAIGEON;PHARMACIE D'OFFICINE NAIGEON;52;;RUE;DE PROVINS;;77;SEINE-ET-MARNE;77560;VILLIERS ST GEORGES;164019003;;11/10/1993;05/03/1976;25/08/2010;48.6477, 3.40603;48.647699999999986;3.40603
770013530;770013522;PHARMACIE COUDERC;PHARMACIE D'OFFICINE COUDERC;445;;AVENUE;DE LA GARE;;77;SEINE-ET-MARNE;77310;ST FARGEAU PONTHIERRY;160654965;164098797;24/12/2002;19/12/1990;25/08/2010;48.5568, 2.53125;48.556799999999996;2.53125
770014454;770017218;SELARL PHARMACIE DU MARCHE DE BUSSY;SELARL PHARMACIE DU MARCHE DE BUSSY SAINT GEORGES;4;;RUE;DES CHALANDS;;77;SEINE-ET-MARNE;77600;BUSSY ST GEORGES;164668569;164668569;12/01/2009;05/12/1997;30/01/2009;48.8388, 2.71147;48.8388;2.7114700000000003
770016053;770016046;PHARMACIE FOL;PHARMACIE D'OFFICINE FOL;26;;RUE;JEAN-JAURES;;77;SEINE-ET-MARNE;77410;CLAYE SOUILLY;160261902;160263096;03/09/2001;18/05/2000;28/07/2003;48.9447, 2.68327;48.94469999999999;2.6832699999999994
780004677;780004651;PHARM GOZLAN HAZIZA;;5;;RUE;MAURICE THOREZ;;78;YVELINES;78260;ACHERES;139111926;;01/03/1974;27/02/1968;25/08/2010;48.9674, 2.07335;48.96739999999999;2.07335
780004941;780004933;PHARM MASANELL;;4;;RUE;DU 8 MAI 1945;;78;YVELINES;78410;AUBERGENVILLE;130910361;130952491;02/10/1987;18/11/1986;23/10/2006;48.9599, 1.85088;48.95989999999999;1.8508800000000003
780005096;780005070;PHARM WILLIAM FALCHETTO;;41;;AVENUE;DU CENTRE;VAL DES 4 PIGNONS;78;YVELINES;78650;BEYNES;134894740;134897740;26/02/1990;11/08/1977;23/10/2006;48.8556, 1.90563;48.85559999999999;1.90563
780005377;780005351;PHARM DU CENTRE;;18;;RUE;DU GENERAL LECLERC;;78;YVELINES;78380;BOUGIVAL;139690007;130827357;09/01/2007;23/05/1944;25/08/2010;48.8661, 2.13837;48.86610000000001;2.13837
780005724;780005716;SELARL PHARM BOURGEOIS LE VERRE;;4;;RUE;DE L'AQUEDUC;CENTRE CIAL DE BEAUREGARD;78;YVELINES;78170;LA CELLE ST CLOUD;139690699;139690699;05/02/1990;18/01/1961;28/10/2009;48.8449, 2.13163;48.8449;2.13163
780006565;780006557;PHARM BERNARD;;1;B;ROUTE;DE RUEIL;;78;YVELINES;78150;LE CHESNAY;139542853;139540826;06/10/1997;25/02/1944;25/08/2010;48.8198, 2.13784;48.81979999999998;2.1378400000000006
780006847;780006821;PHARM LATGE;;21;;AVENUE;DE VILLEPREUX;;78;YVELINES;78340;LES CLAYES SOUS BOIS;134623875;;02/02/2001;24/04/1965;25/08/2010;48.8257, 1.99357;48.825700000000005;1.99357
780007126;780007100;PHARM PAULET;;67;;RUE;DU MARECHAL MAUNOURY;;78;YVELINES;78700;CONFLANS STE HONORINE;139726637;139726637;03/10/1994;30/10/1952;25/08/2010;48.9917, 2.07683;48.9917;2.07683
780007175;780007167;PHARM HAMEL;;38;;RUE;MAURICE BERTEAUX;;78;YVELINES;78700;CONFLANS STE HONORINE;139726102;139723460;04/04/1989;29/06/1943;25/08/2010;48.9926, 2.09272;48.99260000000001;2.09272
750008443;750008435;PHARMACIE DU THEATRE FRANCAIS;;2;;PL;ANDRE MALRAUX;;75;PARIS;75001;PARIS 01;142962933;142607463;01/03/2004;05/07/1943;03/12/2007;48.8639822, 2.3355945;48.8639822;2.3355945
750008575;750008567;PHARMACIE DU FORUM DES HALLES;;1;;RUE;PIERRE LESCOT;NIVEAU 3;75;PARIS;75001;PARIS 01;140419080;140419145;06/01/1995;26/09/1980;04/01/2008;48.86124753, 2.34786452;48.86124753;2.34786452
750008591;750008583;PHARMACIE DU LOUVRE;;38;;RUE;DU LOUVRE;;75;PARIS;75001;PARIS 01;142360135;140289778;01/06/2007;12/11/1942;25/08/2010;48.8622106, 2.3416305;48.8622106;2.3416305
750009524;750009516;PHARMACIE DE BRETAGNE;;10;;RUE;DE BRETAGNE;;75;PARIS;75003;PARIS 03;142784331;142784331;01/05/2008;11/09/1943;03/07/2009;48.8624682, 2.3635794;48.8624682;2.3635794
750009813;750009805;PHARM CAUSSIGNAC;;17;;BOULEVARD;DU TEMPLE;;75;PARIS;75003;PARIS 03;142785405;;29/11/1999;10/11/1942;27/02/2009;48.8642141, 2.3657368;48.8642141;2.3657368
750009862;750009854;PHARM CROULARD;;191;;RUE;DU TEMPLE;;75;PARIS;75003;PARIS 03;142726797;;12/03/1976;12/11/1942;25/08/2010;48.865802, 2.360647;48.865802;2.360647
750010142;750010134;PHARMACIE DE L HOTEL DE VILLE;;4;;RUE;DU BOURG TIBOURG;;75;PARIS;75004;PARIS 04;148876092;148870906;01/01/2010;15/05/1943;06/11/2009;48.8567788, 2.3558116;48.8567788;2.3558116
750010282;750010274;SELAS PHIE DU MARAIS SAINT PAUL;;26;;RUE;DU PONT LOUIS PHILIPPE;;75;PARIS;75004;PARIS 04;142720203;142721750;30/04/2012;19/05/1943;30/05/2012;48.8559303, 2.3565155;48.8559303;2.3565155
750010795;750010787;PHARMACIE CLAUDE BERNARD;;72;;RUE;CLAUDE BERNARD;;75;PARIS;75005;PARIS 05;143311420;143314406;29/05/2001;11/11/1942;25/11/2008;48.8404588, 2.3458574;48.8404588;2.3458574
750010951;750010944;PHARMACIE GAY LUSSAC;;38;;RUE;GAY LUSSAC;;75;PARIS;75005;PARIS 05;143293226;143293226;22/04/2013;08/11/1942;24/05/2013;48.8439087, 2.3421019;48.8439087;2.3421019
750011132;750011116;PHARMACIE DE LA CONTRESCARPE;;49;;RUE;LACEPEDE;;75;PARIS;75005;PARIS 05;147070197;147070197;31/12/1991;11/05/1943;25/11/2008;48.8442458, 2.3500111;48.8442458;2.3500111
750011603;750011595;PHARMACIE PORT ROYAL BERTHOLLET;;58;;BOULEVARD;DE PORT ROYAL;;75;PARIS;75005;PARIS 05;143315750;143315750;01/10/2006;11/11/1942;25/08/2010;48.8377087, 2.3460457;48.8377087;2.3460457
750011637;750011611;PHARMACIE BENKHOUCHA GHOUADNIC;;80;;BOULEVARD;DE PORT ROYAL;;75;PARIS;75005;PARIS 05;146331120;;01/10/2013;05/05/1943;24/10/2013;48.8388965, 2.3404172;48.8388965;2.3404172
750011751;750011744;PHARM DES DEUX RIVES;;17;;BOULEVARD;SAINT GERMAIN;;75;PARIS;75005;PARIS 05;143547214;143546725;12/05/2000;08/11/1942;11/07/2007;48.8493431, 2.3534498;48.8493431;2.3534498
750012601;750012593;PHARMACIE D ASSAS EURL;;19;;RUE;DE FLEURUS;;75;PARIS;75006;PARIS 06;145481951;;01/06/2004;21/05/1943;27/02/2009;48.847028, 2.3301688;48.847028;2.3301688
750013674;750013666;PHARMACIE DE L ASSEMBLEE;;7;;RUE;DE BOURGOGNE;;75;PARIS;75007;PARIS 07;145515441;147055910;01/09/2008;05/05/1943;11/09/2008;48.8599028, 2.3182557;48.8599028;2.3182557
750014094;750014086;GRANDE PHARMACIE RASPAIL;;9;;BOULEVARD;RASPAIL;;75;PARIS;75007;PARIS 07;145485289;145485624;28/09/2001;15/05/1943;03/07/2009;48.8563382, 2.325354;48.8563382;2.325354
750014227;750014201;PHARM DU CHAMP DE MARS;;124;;RUE;SAINT DOMINIQUE;;75;PARIS;75007;PARIS 07;147054930;147054930;22/12/1995;30/10/1942;03/07/2009;48.8579072, 2.3006755;48.8579072;2.3006755
750015075;750015067;PHARMACIE MATIGNON;;1;;AVENUE;MATIGNON;;75;PARIS;75008;PARIS 08;143598655;142259852;01/01/2008;06/03/2007;25/08/2010;48.86945128, 2.31107444;48.86945128;2.31107444
750015141;750015133;SELEURL PHARMACIE DE LIEGE;;21;;RUE;DE LIEGE;;75;PARIS;75008;PARIS 08;142820005;149950230;12/05/2010;28/05/1943;27/07/2011;48.87961853, 2.32689679;48.87961853;2.32689679
750015315;750015307;SELARL PHARMACIE DES ARTS ELYSEES;;27;;RUE;DE MIROMESNIL;16 R DE PENTHIEVRE;75;PARIS;75008;PARIS 08;142652749;142660084;01/07/2010;30/10/1942;21/07/2011;48.87297341, 2.31597368;48.87297341;2.31597368
750015547;750015521;PHARMACIE ISSOULIE;;4;;RUE;TREILHARD;;75;PARIS;75008;PARIS 08;145632822;;18/05/1982;28/05/1943;25/08/2010;48.87680054, 2.3153016;48.87680054;2.3153016
750015596;750015570;PHARM HIBERT;;10;;RUE;WASHINGTON;;75;PARIS;75008;PARIS 08;145637920;;24/12/1992;30/10/1942;03/07/2009;48.8724997, 2.3021256;48.8724997;2.3021256
750015612;750015604;PHARMACIE DU CONSERVATOIRE;;1;;RUE;AMBROISE THOMAS;;75;PARIS;75009;PARIS 09;147705843;142460982;23/08/2002;30/12/1942;15/06/2009;48.874904, 2.3474273;48.874904;2.3474273
750015927;750015901;PHARMACIE EUROPEENNE MERHOUM PEM;;73;;RUE;DE CLICHY;;75;PARIS;75009;PARIS 09;153164928;873754928;30/03/2006;24/06/1943;20/03/2009;48.8820496, 2.3280319;48.8820496;2.3280319
750016115;750016107;PHARMACIE DES THEATRES;;1;;RUE;FONTAINE;;75;PARIS;75009;PARIS 09;148742910;140230867;27/03/2002;29/10/1942;03/07/2009;48.88049827, 2.33500944;48.880498270000004;2.33500944
750017196;750017170;SELEURL PHARMACIE DU CHATEAU D EAU;;25;B;RUE;DU CHATEAU D EAU;;75;PARIS;75010;PARIS 10;142082272;142082272;10/09/2012;22/06/1943;12/09/2012;48.87050539, 2.35953659;48.87050539;2.35953659
750017915;750017907;PHARMACIE DE LIGNAC;;146;;RUE;LA FAYETTE;;75;PARIS;75010;PARIS 10;140357364;146075346;03/03/2008;24/06/1943;03/07/2009;48.8787576, 2.3552854;48.8787576;2.3552854
750018624;750018616;PHARM LE QUOC;;63;;RUE;DE CHARONNE;;75;PARIS;75011;PARIS 11;143579192;;25/03/1987;19/05/1943;25/08/2010;48.853503, 2.3798265;48.853503;2.3798265
750018665;750018657;PHARM SPORTES;;127;;RUE;DE CHARONNE;;75;PARIS;75011;PARIS 11;140242850;140242861;08/10/1999;12/11/1942;25/08/2010;48.8540017, 2.3823379;48.8540017;2.3823379
750019374;750019366;SELARL PHARMACIE WIZMAN;;24;;RUE;OBERKAMPF;;75;PARIS;75011;PARIS 11;147005161;;18/10/2010;12/11/1942;21/07/2011;48.86357456, 2.3696807;48.86357456;2.3696807000000004
750019713;750019705;SELARL PHARMACIE PHILIPPE AUGUSTE;;62;;AVENUE;PHILIPPE AUGUSTE;;75;PARIS;75011;PARIS 11;143701846;143711154;15/03/2010;12/11/1942;21/07/2011;48.85350019, 2.39274636;48.853500190000005;2.39274636
750019747;750019721;PHARMACIE POPINCOURT;;41;;RUE;POPINCOURT;;75;PARIS;75011;PARIS 11;147005736;147000467;14/01/1998;27/05/1943;03/12/2008;48.8590967, 2.3760315;48.8590967;2.3760315
750019762;750019754;PHARMACIE DE LA CONFIANCE;;13;;RUE;DE LA PRESENTATION;;75;PARIS;75011;PARIS 11;143571191;;01/01/2008;28/04/1943;25/11/2008;48.87133271, 2.37635645;48.87133270999999;2.37635645
750019895;750019887;PHARM ASSOUN;;53;;AVENUE;DE LA REPUBLIQUE;;75;PARIS;75011;PARIS 11;143573456;143575069;13/05/1992;10/05/1943;25/08/2010;48.8649677, 2.37609816;48.8649677;2.37609816
750019911;750019903;PHARMACIE PIPERNO;;51;B;RUE;DE LA ROQUETTE;;75;PARIS;75011;PARIS 11;147009266;148061185;01/04/2005;30/10/1942;23/01/2007;48.8585346, 2.3836681;48.8585346;2.3836681
750019960;750019952;PHARMACIE MEYER ISRAEL;;81;;RUE;DE LA ROQUETTE;;75;PARIS;75011;PARIS 11;143797854;143799297;27/04/1990;19/05/1943;25/08/2010;48.8568716, 2.3779908;48.8568716;2.3779908
750020315;750020307;PHARMACIE DU BATACLAN;;34;;BOULEVARD;VOLTAIRE;;75;PARIS;75011;PARIS 11;148050961;148051536;14/04/2003;10/11/1942;12/07/2007;48.8575917, 2.3805149;48.8575917;2.3805149
750020794;750020786;PHARM DANJOU;;29;;RUE;CHALIGNY;;75;PARIS;75012;PARIS 12;143728024;143727202;12/03/1974;10/12/1942;16/03/2009;48.8498918, 2.3841506;48.8498918;2.3841506
750021255;750021230;PHARMACIE DE LA GARE DE LYON;;32;;BOULEVARD;DIDEROT;;75;PARIS;75012;PARIS 12;153338575;;10/01/2004;08/11/1942;23/01/2007;48.8460387, 2.3765886;48.8460387;2.3765886
750021503;750021495;PHARMACIE 58;;58;;AVENUE;DU GAL MICHEL BIZOT;;75;PARIS;75012;PARIS 12;143077539;144747761;01/04/2008;10/12/1942;09/07/2009;48.83522093, 2.40152925;48.83522093;2.4015292500000003
750021701;750021693;PHARMACIE CENTRALE DE LYON;;43;;RUE;DE LYON;;75;PARIS;75012;PARIS 12;143436647;143436989;15/10/2007;03/12/1942;26/11/2007;48.84884655, 2.37106204;48.84884655;2.37106204
750021800;750021792;PHARMACIE FABRE D EGLANTINE;;20;;PL;DE LA NATION;;75;PARIS;75012;PARIS 12;143433854;143434824;26/01/1989;05/11/1943;10/02/2009;48.8472463, 2.3959684;48.8472463;2.3959684
750021933;750021925;PHARMACIE DU RENDEZ VOUS;;14;;RUE;DU RENDEZ VOUS;;75;PARIS;75012;PARIS 12;143438993;143430275;01/10/2011;08/11/1942;24/10/2011;48.8453113, 2.4044591;48.8453113;2.4044591
750022220;750022212;PHARMACIE DU COURS DE VINCENNES;;96;;CRS;DE VINCENNES;;75;PARIS;75012;PARIS 12;143435510;143456145;01/07/2007;15/05/1943;10/10/2007;48.8477827, 2.4062773;48.8477827;2.4062773
750023434;750023426;PHARM DE LA PLACE D ITALIE;;1;;AVENUE;DE LA SOEUR ROSALIE;8 PLACE D ITALIE;75;PARIS;75013;PARIS 13;143312314;145878933;14/01/1986;18/10/1973;10/07/2009;48.83176142, 2.35430574;48.83176142;2.3543057399999996
750023533;750023525;SELARL PHARMACIE CENTRALE;;75;;RUE;DE TOLBIAC;;75;PARIS;75013;PARIS 13;144241000;144240191;31/10/2012;10/11/1942;19/11/2012;48.8268904, 2.365097;48.8268904;2.365097
750023616;750023590;PHARMACIE  VINCENT AURIOL;;203;;BOULEVARD;VINCENT AURIOL;;75;PARIS;75013;PARIS 13;142169595;153792329;01/07/2003;22/10/1974;24/06/2009;48.83104151, 2.35710919;48.83104151000001;2.3571091900000005
750023921;750023913;SNC GRANDE PHARMACIE DIDOT;;64;;BOULEVARD;BRUNE;;75;PARIS;75014;PARIS 14;145395756;;15/05/2011;10/11/1942;27/07/2011;48.8258475, 2.3128639;48.8258475;2.3128639
750023954;750023947;PHARMACIE BERNARD ZERBIB;;128;;BOULEVARD;BRUNE;;75;PARIS;75014;PARIS 14;145397372;145397372;03/07/1967;10/05/1945;10/07/2009;48.8234265, 2.323761;48.8234265;2.323761
750024903;750024895;SELAS PHARMAWIN;;89;;RUE;RAYMOND LOSSERAND;;75;PARIS;75014;PARIS 14;145426250;145426250;18/03/2012;08/11/1942;04/04/2012;48.8314253, 2.3133237;48.8314253;2.3133237
750024952;750024945;SELARL PHARMACIE DE LA PAIX;;156;;RUE;RAYMOND LOSSERAND;HALL A;75;PARIS;75014;PARIS 14;145436522;153901909;01/06/2012;30/10/1942;16/07/2012;48.8314253, 2.3133237;48.8314253;2.3133237
750025066;750025041;SELAS PHARMACIE SARRETTE SELAS;;3;;RUE;SARRETTE;;75;PARIS;75014;PARIS 14;143271757;145385362;01/07/2011;30/10/1942;25/07/2011;48.8255732, 2.3277215;48.8255732;2.3277215
750025207;750025181;GRANDE PHARMACIE DE L ARRIVEE;;6;;RUE;DE L ARRIVÉE;;75;PARIS;75015;PARIS 15;145486120;145481631;08/05/2008;17/01/1944;10/07/2009;48.84367615, 2.322312;48.84367615;2.322312
